97,"<re.Match object; span=(249, 272), match='interned_strings_buffer'>","<re.Match object; span=(0, 1), match='8'>",8,"This link can help you calculate the good values for your system.
Enable PHP OPcache¶
The OPcache improves the performance of PHP applications by caching precompiled bytecode. We recommend at least the following settings:
opcache.enable = 1
opcache.interned_strings_buffer = 8",8.0,,3,"('interned_strings_buffer affects other configs', '8')"
97,"<re.Match object; span=(105, 120), match='revalidate_freq'>","<re.Match object; span=(0, 1), match='1'>",1,"opcache.max_accelerated_files = 10000
opcache.memory_consumption = 128
opcache.save_comments = 1
opcache.revalidate_freq = 1
For more details check out the official documentation or this blog post about some recommended settings.
Next
Previous",1.0,,3,"('revalidate_freq affects other configs', '1')"
97,"<re.Match object; span=(46, 64), match='memory_consumption'>","<re.Match object; span=(0, 3), match='128'>",128,"opcache.max_accelerated_files = 10000
opcache.memory_consumption = 128
opcache.save_comments = 1
opcache.revalidate_freq = 1
For more details check out the official documentation or this blog post about some recommended settings.
Next
Previous",128.0,,3,"('memory_consumption affects other configs', '128')"
97,"<re.Match object; span=(8, 29), match='max_accelerated_files'>","<re.Match object; span=(0, 5), match='10000'>",10000,"opcache.max_accelerated_files = 10000
opcache.memory_consumption = 128
opcache.save_comments = 1
opcache.revalidate_freq = 1
For more details check out the official documentation or this blog post about some recommended settings.
Next
Previous",10000.0,,3,"('max_accelerated_files affects other configs', '10000')"
97,"<re.Match object; span=(79, 92), match='save_comments'>","<re.Match object; span=(0, 1), match='1'>",1,"opcache.max_accelerated_files = 10000
opcache.memory_consumption = 128
opcache.save_comments = 1
opcache.revalidate_freq = 1
For more details check out the official documentation or this blog post about some recommended settings.
Next
Previous",1.0,,3,"('save_comments affects other configs', '1')"
1,"<re.Match object; span=(18, 31), match='seq_page_cost'>","<re.Match object; span=(0, 1), match='1'>","1
","#records
= 100000
seq_page_cost
= 1
(default)
cpu_tuple_cost
= 0.01
(default)
cpu_filter_cost = 0.0025 (default)",1.0,,3,"('seq_page_cost affects other configs', '1\n')"
1,"<re.Match object; span=(46, 60), match='cpu_tuple_cost'>","<re.Match object; span=(0, 4), match='0.01'>","0.01
","#records
= 100000
seq_page_cost
= 1
(default)
cpu_tuple_cost
= 0.01
(default)
cpu_filter_cost = 0.0025 (default)",0.01,,3,"('cpu_tuple_cost affects other configs', '0.01\n')"
1,"<re.Match object; span=(78, 93), match='cpu_filter_cost'>","<re.Match object; span=(0, 6), match='0.0025'>",0.0025,"#records
= 100000
seq_page_cost
= 1
(default)
cpu_tuple_cost
= 0.01
(default)
cpu_filter_cost = 0.0025 (default)",0.0025,,3,"('cpu_filter_cost affects other configs', '0.0025')"
5,"<re.Match object; span=(22, 36), match='shared_buffers'>","<re.Match object; span=(0, 3), match='25%'>",25% of available RAM,"8. Properly Configure shared_buffers
We typically recommend 25% of available RAM. If you install TimescaleDB via a method that runs timescaledb-tune, it should automatically configure shared_buffers to something well-suited to your hardware specs.",0.25,,1,"('shared_buffers affects other configs', 'hardware specs')"
5,"<re.Match object; span=(171, 185), match='shared_buffers'>","<re.Match object; span=(0, 3), match='25%'>",25%,"Note: in some cases, typically with virtualization and constrained cgroups memory allocation, these automatically-configured settings may not be ideal. To check that your shared_buffers are set to within the 25% range,  run SHOW shared_buffers from your psql connection.
9. Run our Docker Images on Linux Hosts
If you are running a TimescaleDB Docker container (which runs Linux) on top of another Linux operating system, you're in great shape. The container is basically providing process isolation, and the overhead is extremely minimal.",0.25,,1,"('shared_buffers is affected by other condition', 'virtualization and constrained cgroups memory allocation')"
5,"<re.Match object; span=(94, 115), match='_timescaledb_internal'>","<re.Match object; span=(0, 5), match='388MB'>",388MB     | 108MB    ,"-----------------------------------------+------------+------------+------------+------------
_timescaledb_internal._hyper_1_96_chunk | 200MB     | 64MB
| 8192 bytes | 272MB
_timescaledb_internal._hyper_1_95_chunk | 388MB     | 108MB     | 8192 bytes | 500MB",388.0,MB,3,"('_timescaledb_internal affects other configs', 'hyper_1_96_chunk | 200MB \xa0 \xa0')"
5,"<re.Match object; span=(94, 115), match='_timescaledb_internal'>","<re.Match object; span=(12, 17), match='108MB'>",388MB     | 108MB    ,"-----------------------------------------+------------+------------+------------+------------
_timescaledb_internal._hyper_1_96_chunk | 200MB     | 64MB
| 8192 bytes | 272MB
_timescaledb_internal._hyper_1_95_chunk | 388MB     | 108MB     | 8192 bytes | 500MB",108.0,MB,3,"('_timescaledb_internal affects other configs', 'hyper_1_96_chunk | 200MB \xa0 \xa0')"
5,"<re.Match object; span=(0, 21), match='_timescaledb_internal'>","<re.Match object; span=(0, 5), match='388MB'>",388MB     | 108MB    ,"_timescaledb_internal._hyper_1_94_chunk | 388MB     | 108MB     | 8192 bytes | 500MB
_timescaledb_internal._hyper_1_93_chunk | 388MB     | 108MB     | 8192 bytes | 500MB",388.0,MB,3,"('_timescaledb_internal is affected by other condition', 'hyper_1_94_chunk | 388MB \xa0 \xa0')"
5,"<re.Match object; span=(0, 21), match='_timescaledb_internal'>","<re.Match object; span=(12, 17), match='108MB'>",388MB     | 108MB    ,"_timescaledb_internal._hyper_1_94_chunk | 388MB     | 108MB     | 8192 bytes | 500MB
_timescaledb_internal._hyper_1_93_chunk | 388MB     | 108MB     | 8192 bytes | 500MB",108.0,MB,3,"('_timescaledb_internal is affected by other condition', 'hyper_1_94_chunk | 388MB \xa0 \xa0')"
11,"<re.Match object; span=(280, 295), match='max_connections'>","<re.Match object; span=(0, 3), match='100'>",100 concurrent connections,"PostgreSQL supports various types of indexes such as B-Tree (default), Hash, GiST, SP-GiST, and GIN. Here are the detailed steps to create PostgreSQL index.
5. Increase maximum connections
By default, PostgreSQL supports a maximum of 100 concurrent connections. This is stored in max_connections server variable. You can increase this number to support more concurrent connections and keep users from waiting. However, each connection consumes memory, so don’t increase it, unless required.",100.0,,3,"('max_connections is affected by other condition', 'each connection consumes memory')"
